s,hotel_name,country_name
http://example.com/id/100877359h,Müritz Hotel,Germany
http://example.com/id/1011881h,Burg Großfurra,Germany
http://example.com/id/1015042h,Burghaus Burgsahr,Germany
http://example.com/id/10332618h,Mosteiro de Flor da Rosa,Portugal
http://example.com/id/103331335h,"32 Bond Street, Ross",Australia
http://example.com/id/10343928h,Palácio Belmonte,Portugal
http://example.com/id/10344021h,Palácio de Estói,Portugal
http://example.com/id/10352192h,Convento das Chagas (Vila Viçosa),Portugal
http://example.com/id/10352195h,Convento dos Lóios,Portugal
http://example.com/id/10352198h,Pousada de Condeixa-a-Nova,Portugal
http://example.com/id/10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém,Portugal
http://example.com/id/10352206h,Pousada de Viseu,Portugal
http://example.com/id/10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento,Portugal
http://example.com/id/10352211h,Convento de Nossa Senhora da Boa Esperança,Portugal
http://example.com/id/10352218h,Solar da Rede,Portugal
http://example.com/id/10352219h,Convento dos Lóios,Portugal
http://example.com/id/104234251h,British Hotel,Australia
http://example.com/id/104830558h,Welsbach Building,United States of America
http://example.com/id/1049027h,Jumeirah Emirates Towers Hotel,United Arab Emirates
http://example.com/id/1049209h,The Venetian,United States of America
http://example.com/id/1051604h,Four Queens,United States of America
http://example.com/id/10524043h,Hilton Nairobi,Kenya
http://example.com/id/10524047h,Hilton Stockholm Slussen,Sweden
http://example.com/id/10526554h,Hotel Knaust,Sweden
http://example.com/id/10526572h,Hotel Billingen,Sweden
http://example.com/id/105554563h,Heliopolis Towers Hotel,Egypt
http://example.com/id/105621651h,Oubangui Hotel,Central African Republic
http://example.com/id/106090892h,"Overtoom 33, Amsterdam",Netherlands
http://example.com/id/106192327h,Can Ferrandell,Spain
http://example.com/id/1063195h,Torre de Madrid,Spain
http://example.com/id/106393048h,Hampton by Hilton Bursa,Turkey
http://example.com/id/1064873h,Excalibur Hotel and Casino,United States of America
http://example.com/id/106996884h,Na můstku 10,Czech Republic
http://example.com/id/107121457h,Brinker Collegiate Institute,United States of America
http://example.com/id/107607598h,Hotel Dudley,United States of America
http://example.com/id/108294146h,"Flour Mill at 129 Port avenue, Valencia",Spain
http://example.com/id/108309815h,Can Cera,Spain
http://example.com/id/108516880h,Villa Balbi,Italy
http://example.com/id/108729880h,Kasteel Solhof,Belgium
http://example.com/id/108865646h,Lamar Hotel,United States of America
http://example.com/id/109451447h,Panquinkazerne,Belgium
http://example.com/id/110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton",Maldives
